Date : 2026-06-20 16:13:25
Directory : /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02
Total : 404 files,  56845 codes, 3383 comments, 9894 blanks, all 70122 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |         33 |     24,129 |      1,048 |      1,954 |     27,131 |
| Java               |        303 |     14,771 |        377 |      3,142 |     18,290 |
| Markdown           |         20 |      7,500 |          0 |      2,950 |     10,450 |
| JSON               |          4 |      4,278 |          4 |          8 |      4,290 |
| TypeScript         |         23 |      3,693 |        179 |        408 |      4,280 |
| MS SQL             |          1 |      1,340 |      1,493 |      1,198 |      4,031 |
| PostCSS            |          2 |        285 |          5 |         42 |        332 |
| XML                |          5 |        270 |         27 |         36 |        333 |
| YAML               |          4 |        218 |          1 |         43 |        262 |
| Batch              |          1 |        139 |         26 |         25 |        190 |
| JavaScript         |          3 |         94 |          1 |          4 |         99 |
| Properties         |          1 |         64 |        218 |         76 |        358 |
| HTML               |          2 |         54 |          4 |          6 |         64 |
| JSON with Comments |          1 |          7 |          0 |          1 |          8 |
| Java Properties    |          1 |          3 |          0 |          1 |          4 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                                             | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                                |        404 |     56,845 |      3,383 |      9,894 |     70,122 |
| . (Files)                                                                                                                                                                                                        |          4 |        421 |        219 |        170 |        810 |
| .github                                                                                                                                                                                                          |          5 |        210 |          0 |         93 |        303 |
| .github (Files)                                                                                                                                                                                                  |          1 |         67 |          0 |         33 |        100 |
| .github/ISSUE_TEMPLATE                                                                                                                                                                                           |          2 |         93 |          0 |         47 |        140 |
| .github/workflows                                                                                                                                                                                                |          2 |         50 |          0 |         13 |         63 |
| backend                                                                                                                                                                                                          |        307 |     15,230 |        430 |      3,221 |     18,881 |
| backend (Files)                                                                                                                                                                                                  |          2 |        382 |         53 |         59 |        494 |
| backend/.mvn                                                                                                                                                                                                     |          1 |          3 |          0 |          1 |          4 |
| backend/.mvn/wrapper                                                                                                                                                                                             |          1 |          3 |          0 |          1 |          4 |
| backend/src                                                                                                                                                                                                      |        304 |     14,845 |        377 |      3,161 |     18,383 |
| backend/src/main                                                                                                                                                                                                 |        301 |     14,535 |        356 |      3,098 |     17,989 |
| backend/src/main/java                                                                                                                                                                                            |        300 |     14,461 |        356 |      3,079 |     17,896 |
| backend/src/main/java/com                                                                                                                                                                                        |        300 |     14,461 |        356 |      3,079 |     17,896 |
| backend/src/main/java/com/swp391                                                                                                                                                                                 |        300 |     14,461 |        356 |      3,079 |     17,896 |
| backend/src/main/java/com/swp391/coding_platform                                                                                                                                                                 |        300 |     14,461 |        356 |      3,079 |     17,896 |
